channel_id,handle,subscribers,youtube_channel_url,youtube_channel_videos_url
client,@EdSheeran,55500000,https://www.youtube.com/@EdSheeran,https://www.youtube.com/@EdSheeran/videos
UCDGmojLIoWpXok597xYo8cg,@BillieEilish,53800000,https://www.youtube.com/@BillieEilish,https://www.youtube.com/@BillieEilish/videos
UCkuZJIhMYCnOa0dnWeHuN2w,@ShriPrashant,53700000,https://www.youtube.com/@ShriPrashant,https://www.youtube.com/@ShriPrashant/videos
UCtV9MJJh8uErNje2amzl4DA,@getmovies,53400000,https://www.youtube.com/@getmovies,https://www.youtube.com/@getmovies/videos
UCqJ5zFEED1hWs0KNQCQuYdQ,@Mikecrack,53200000,https://www.youtube.com/@Mikecrack,https://www.youtube.com/@Mikecrack/videos
client,@sonymusicindiaVEVO,53000000,https://www.youtube.com/@sonymusicindiaVEVO,https://www.youtube.com/@sonymusicindiaVEVO/videos
client,@AlejoIgoa,52700000,https://www.youtube.com/@AlejoIgoa,https://www.youtube.com/@AlejoIgoa/videos
UCrcUbwWMAshF6M6UJcwOK7g,@JessNoLimit,52400000,https://www.youtube.com/@JessNoLimit,https://www.youtube.com/@JessNoLimit/videos
UCYbv0jZqHIMW4XjE9vDRLTw,@JuegaGerman,51700000,https://www.youtube.com/@JuegaGerman,https://www.youtube.com/@JuegaGerman/videos
UC_nG9utuUtB_fxoMSx7j4sQ,@JioCinemaKidsPremium,50300000,https://www.youtube.com/@JioCinemaKidsPremium,https://www.youtube.com/@JioCinemaKidsPremium/videos
client,@starplus,49900000,https://www.youtube.com/@starplus,https://www.youtube.com/@starplus/videos
UCSgiKiHFAV640il9waFg9cw,@MashaBearEN,49900000,https://www.youtube.com/@MashaBearEN,https://www.youtube.com/@MashaBearEN/videos
UCxk7r8lH6fWkMuWeQn9Gi6g,@luccastoon,49800000,https://www.youtube.com/@luccastoon,https://www.youtube.com/@luccastoon/videos
UCLlwze6M26ECq0qYwz1OhKw,@beterbocuk,49800000,https://www.youtube.com/@beterbocuk,https://www.youtube.com/@beterbocuk/videos
UCgKEvLp8DXCTMq4QY6wW7bw,@realfoolsshorts63,49000000,https://www.youtube.com/@realfoolsshorts63,https://www.youtube.com/@realfoolsshorts63/videos
UCogFEsMS-SZvtsd3_QnMbuQ,@topperguild,48700000,https://www.youtube.com/@topperguild,https://www.youtube.com/@topperguild/videos
UCmBA_wu8xGg1OfOkfW13Q0Q,@BadBunnyPR,48400000,https://www.youtube.com/@BadBunnyPR,https://www.youtube.com/@BadBunnyPR/videos
UCwosQ1lgv4kez9V4xUbJWKQ,@Fernanfloo,48100000,https://www.youtube.com/@Fernanfloo,https://www.youtube.com/@Fernanfloo/videos
UC4tS4Q_Cno5JVcIUXxQOOpA,@RicisOfficial1795,47700000,https://www.youtube.com/@RicisOfficial1795,https://www.youtube.com/@RicisOfficial1795/videos
UC2sAlHn-5vR8URM_NT6Fx3g,@Shakira,47300000,https://www.youtube.com/@Shakira,https://www.youtube.com/@Shakira/videos
UCQ7x25F6YXY9DvGeHFxLhRQ,@shfa2,47200000,https://www.youtube.com/@shfa2,https://www.youtube.com/@shfa2/videos
client,@felipeneto,46800000,https://www.youtube.com/@felipeneto,https://www.youtube.com/@felipeneto/videos
UCwHE1kM1CPJd_pI9FQ0-4dg,@shfa-1,46700000,https://www.youtube.com/@shfa-1,https://www.youtube.com/@shfa-1/videos
UCX6OQ3DkcsbYNE6H8uQQuVA,@MrBeast2,46700000,https://www.youtube.com/@MrBeast2,https://www.youtube.com/@MrBeast2/videos
UCil8E_9Dx_sO-rlakErcOIQ,@Dushyant_kukreja,46500000,https://www.youtube.com/@Dushyant_kukreja,https://www.youtube.com/@Dushyant_kukreja/videos
UC4wEPe5mrHGAUjjTfXH_C-Q,@AnayaKandhal,46400000,https://www.youtube.com/@AnayaKandhal,https://www.youtube.com/@AnayaKandhal/videos
UCJrOtniJ0-NWz37R30urifQ,@Alanwalkermusic,46100000,https://www.youtube.com/@Alanwalkermusic,https://www.youtube.com/@Alanwalkermusic/videos
UCzoUWqjCbcfWFdOMvoep8FA,@KimberlyLoaiza,46000000,https://www.youtube.com/@KimberlyLoaiza,https://www.youtube.com/@KimberlyLoaiza/videos
