Channel_Name,Display_Name,Title,Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments,YouTube_Channel_URL
colorstv,colorstv,Colors TV,77400000.0,India,4500.0,56.0,1.0,https://www.youtube.com/@colorstv
hybelabels,hybelabels,HYBE LABELS,76200000.0,United States,229800.0,22400.0,509.0,https://www.youtube.com/@hybelabels
tseriesbhaktisagar,tseriesbhaktisagar,T-Series Bhakti Sagar,72400000.0,India,15500.0,414.0,25.0,https://www.youtube.com/@tseriesbhaktisagar
a4a4a4a4,a4a4a4a4,A4,70800000.0,Russia,2300000.0,114000.0,4300.0,https://www.youtube.com/@a4a4a4a4
tipsofficial,tipsofficial,Tips Official,70600000.0,India,48500.0,566.0,17.0,https://www.youtube.com/@tipsofficial
filmigaane,filmigaane,Shemaroo Filmi Gaane,70100000.0,Unknown,19200.0,185.0,9.0,https://www.youtube.com/@filmigaane
cristiano,cristiano,UR · Cristiano,69600000.0,India,2300000.0,271400.0,11500.0,https://www.youtube.com/@cristiano
kimpro828,kimpro828,김프로KIMPRO,69400000.0,Indonesia,3100000.0,104400.0,395.0,https://www.youtube.com/@kimpro828
aajtak,aajtak,Aaj Tak,68500000.0,India,5200.0,93.0,3.0,https://www.youtube.com/@aajtak
alanchikinchow,alanchikinchow,Alan Chikin Chow,68400000.0,India,3800000.0,165000.0,646.0,https://www.youtube.com/@alanchikinchow
zamzamelectronicstradingllc,zamzamelectronicstradingllc,ZAMZAM ELECTRONICS TRADING,68300000.0,India,194200.0,16200.0,246.0,https://www.youtube.com/@zamzamelectronicstradingllc
kondzilla,kondzilla,Canal KondZilla,67500000.0,Brazil,7500.0,308.0,4.0,https://www.youtube.com/@kondzilla
toysandcolors,toysandcolors,Toys and Colors,67200000.0,Unknown,2300000.0,3400.0,0.0,https://www.youtube.com/@toysandcolors
elreinoinfantil,elreinoinfantil,El Reino Infantil,66900000.00000001,Unknown,159000.0,774.0,0.0,https://www.youtube.com/@elreinoinfantil
infobellshindirhymes,infobellshindirhymes,Infobells - Hindi,66200000.0,Unknown,446100.0,2700.0,0.0,https://www.youtube.com/@infobellshindirhymes
wavemusicindia,wavemusicindia,Wave Music,63500000.0,Unknown,17900.0,400.0,30.0,https://www.youtube.com/@wavemusicindia
eminem,eminem,EminemMusic,63100000.0,United States,2200000.0,156400.0,8100.0,https://www.youtube.com/@eminem
movieclips,movieclips,Movieclips,62700000.0,United States,23400.0,246.0,9.0,https://www.youtube.com/@movieclips
yrf,yrf,YRF,62700000.0,India,41900.0,1800.0,21.0,https://www.youtube.com/@yrf
sonymusicindia,sonymusicindia,Sony Music India,62700000.0,India,18100.0,644.0,9.0,https://www.youtube.com/@sonymusicindia
harpalgeoofficial,harpalgeoofficial,HAR PAL GEO,62500000.0,Pakistan,7200.0,90.0,1.0,https://www.youtube.com/@harpalgeoofficial
klbrobijurithvik1,klbrobijurithvik1,KL BRO Biju Rithvik,61100000.0,India,4900000.0,151300.0,298.0,https://www.youtube.com/@klbrobijurithvik1
dudeperfect,dudeperfect,Dude Perfect,60600000.0,United States,7700000.0,196000.0,4500.0,https://www.youtube.com/@dudeperfect
